id,manufacturer,dtc,description
2562,pontiac,P1136,HO2S Rich Mean Bank 1 Sensor 1
2563,pontiac,P1137,HO2S Bank 1 Sensor 2 Lean System or Low Voltage
2564,pontiac,P1138,HO2S Bank 1 Sensor 2 Rich or High Voltage
2565,pontiac,P1139,HO2S Insuff. Switching Bank 1 Sensor 2
2566,pontiac,P1140,HO2S Transition Time Ratio Bank 1 Sensor 2
2567,pontiac,P1141,HO2S Heater Control Circuit Bank 1 Sensor 2
2568,pontiac,P1143,HO2S Bank 1 Sensor 3 Lean System or Low Voltage
2569,pontiac,P1144,HO2S Bank 1 Sensor 3 Rich or High Voltage
2570,pontiac,P1145,HO2S Cross Counts Bank 1 Sensor 3
2571,pontiac,P1153,HO2S Insufficient Switching Bank 2 Sensor 1
2572,pontiac,P1154,HO2S Transition Time Ratio Bank 2 Sensor 1
2573,pontiac,P1155,HO2S Lean Mean Bank 2 Sensor 1
2574,pontiac,P1156,HO2S Rich Mean Bank 2 Sensor 1
2575,pontiac,P1157,HO2S Bank 2 Sensor 2 Lean System or Low Voltage
2576,pontiac,P1158,HO2S Bank 2 Sensor 2 Rich or High Voltage
2577,pontiac,P1159,HO2S Cross Counts Bank 2 Sensor 2
2578,pontiac,P1161,HO2S Heater Control Circuit Bank 2 Sensor 2
2579,pontiac,P1163,HO2S Bank 2 Sensor 3 Lean System or Low Voltage
2580,pontiac,P1164,HO2S Bank 2 Sensor 3 Rich or High Voltage
2581,pontiac,P1165,HO2S Cross Counts Bank 2 Sensor 3
2582,pontiac,P1170,Bank to Bank Fuel TrimOffset
2583,pontiac,P1171,Fuel System Lean During Acceleration
2584,pontiac,P1185,Engine Oil Temperature Circuit
2585,pontiac,P1186,EOT Circuit Performance
2586,pontiac,P1187,EOT Sensor Ckt. Low Voltage
2587,pontiac,P1188,EOT Sensor Ckt. High Voltage
2588,pontiac,P1189,Engine Oil Pressure (EOP) Switch Circuit
2589,pontiac,P1190,Engine Vacuum Leak
2590,pontiac,P1191,Intake Air Duct Air Leak
2591,pontiac,P1200,Injector Control Circuit
2592,pontiac,P1201,(Alt. Fuel) Gas Mass Sensor Circuit Range/Performance
2593,pontiac,P1202,(Alt. Fuel) Gas Mass Sensor Circuit Low Frequency
2594,pontiac,P1203,(Alt. Fuel) Gas Mass Sensor Circuit High Frequency
2595,pontiac,P1211,Mass Air Flow Circuit Intermittent High
2596,pontiac,P1212,Mass Air Flow Circuit Intermittent Low
2597,pontiac,P1214,Injection Pump Timing Offset
2598,pontiac,P1215,Ground Fault Detection Indicated
2599,pontiac,P1216,Fuel Solenoid Response Time Too Short
2600,pontiac,P1217,Fuel Solenoid Response Time Too Long
2601,pontiac,P1218,Injection Pump Calibration Circuit
2602,pontiac,P1219,Throttle Position Sensor Reference Voltage
2603,pontiac,P1220,Throttle Position (TP) Sensor 2 Circuit
2604,pontiac,P1221,Fuel Pump Secondary Circuit Low
2605,pontiac,P1222,Injector Control Circuit Intermittent
2606,pontiac,P1225,Injector Circuit Cylinder 2 Intermittent
2607,pontiac,P1228,Injector Circuit Cylinder 3 Intermittent
2608,pontiac,P1231,Injector Circuit Cylinder 4 Intermittent
2609,pontiac,P1234,Injector Circuit Cylinder 5 Intermittent
2610,pontiac,P1237,Injector Circuit Cylinder 6 Intermittent
2611,pontiac,P1240,Injector Circuit Cylinder 7 Intermittent
2612,pontiac,P1243,Injector Circuit Cylinder 8 Intermittent
2613,pontiac,P1245,Intake Plenum Switchover Valve
2614,pontiac,P1250,Early Fuel Evaporation Heater Circuit
2615,pontiac,P1257,Supercharger System Overboost
2616,pontiac,P1258,Engine Coolant Overtemperature - Protection Mode Active
2617,pontiac,P1260,Last Test Failed Failed SCC ENTER:More Info.
2618,pontiac,P1270,Accelerator Pedal Position Sensor A/D Converter Error
2619,pontiac,P1271,Accelerator Pedal Position (APP) Sensor 1-2 Correlation
2620,pontiac,P1272,Accelerator Pedal Position Sensor 2
2621,pontiac,P1273,Accelerator Pedal Position Sensor 1
2622,pontiac,P1274,Injectors Wired Incorrectly
2623,pontiac,P1275,Accelerator Pedal Position (APP) Sensor 1 Circuit
2624,pontiac,P1276,Accelerator Pedal Position Sensor 1 Circuit Performance
2625,pontiac,P1277,Accelerator Pedal Position Sensor 1 Circuit Low Voltage
2626,pontiac,P1278,Accelerator Pedal Position Sensor 1 Circuit High Voltage
2627,pontiac,P1280,Accelerator Pedal Position (APP) Sensor 2 Circuit
2628,pontiac,P1281,Accelerator Pedal Position Sensor 2 Circuit Performance
2629,pontiac,P1282,Accelerator Pedal Position Sensor 2 Circuit Low Voltage
2630,pontiac,P1283,Accelerator Pedal Position Sensor 2 Circuit High Voltage
2631,pontiac,P1285,Accelerator Pedal Position Sensor 3 Circuit
2632,pontiac,P1286,Accelerator Pedal Position Sensor 3 Circuit Performance
2633,pontiac,P1287,Accelerator Pedal Position Sensor 3 Circuit Low Voltage
2634,pontiac,P1288,Accelerator Pedal Position Sensor 3 Circuit High Voltage
2635,pontiac,P1300,Ignitor Circuit
2636,pontiac,P1305,Ignition Coil 2 Primary Feedback Circuit
2637,pontiac,P1310,Ignition Coil 3 Primary Feedback Circuit
2638,pontiac,P1315,Ignition Coil 4 Primary Feedback Circuit
2639,pontiac,P1320,IC 4X Reference Circuit Intermittent
2640,pontiac,P1321,Electronic Ignition System Fault Line
2641,pontiac,P1322,EI System or Ignition Control Extra or Missing
2642,pontiac,P1323,IC 24X Reference Circuit Low Frequency
2643,pontiac,P1324,Crank RPM Too Low
2644,pontiac,P1335,CKP Circuit
2645,pontiac,P1336,Crankshaft Position (CKP) System Variation Not Learned
2646,pontiac,P1345,Crankshaft Position (CKP)-Camshaft Position (CMP) Correlation
2647,pontiac,P1346,Intake Camshaft Position [CMP] Sensor System Performance
2648,pontiac,P1350,Ignition Control System
2649,pontiac,P1351,Ignition Coil Control Circuit High Voltage
2650,pontiac,P1352,IC Output High/Pulse Detected when GND_Cyl. 2
2651,pontiac,P1353,IC Output High/Pulse Detected when GND_Cyl. 3
2652,pontiac,P1354,IC Output High/Pulse Detected when GND_Cyl. 4
2653,pontiac,P1355,IC Output High/Pulse Detected when GND_Cyl. 5
2654,pontiac,P1356,IC Output High/Pulse Detected when GND_Cyl. 6
2655,pontiac,P1357,IC Output High/Pulse Detected when GND_Cyl. 7
2656,pontiac,P1358,IC Output High/Pulse Detected when GND_Cyl. 8
2657,pontiac,P1359,Ignition Coil Group 1 Control Circuit
2658,pontiac,P1360,Ignition Coil Group 2 Control Circuit
2659,pontiac,P1361,Ignition Coil Control Circuit Low Voltage
2660,pontiac,P1362,IC Cylinder 2 Not Toggling After Enable
2661,pontiac,P1363,IC Cylinder 3 Not Toggling After Enable
2662,pontiac,P1364,IC Cylinder 4 Not Toggling After Enable
2663,pontiac,P1365,IC Cylinder 5 Not Toggling After Enable
2664,pontiac,P1366,IC Cylinder 6 Not Toggling After Enable
2665,pontiac,P1367,IC Cylinder 7 Not Toggling After Enable
2666,pontiac,P1368,IC Cylinder 8 Not Toggling After Enable
2667,pontiac,P1370,IC 4X Reference Circuit Too Many Pulses
2668,pontiac,P1371,IC 4X Reference Circuit Too Few Pulses
2669,pontiac,P1372,Crankshaft Position (CKP) Sensor A-B Correlation
2670,pontiac,P1374,3X Reference Circuit
2671,pontiac,P1375,IC 24X Reference Circuit High Voltage
2672,pontiac,P1376,Ignition Ground Circuit
2673,pontiac,P1377,IC Cam Pulse To 4X Reference Pulse
2674,pontiac,P1380,Misfire Detected - Rough Road Data Not Available
2675,pontiac,P1381,Misfire Detected - No Communication with Brake ControlModule
2676,pontiac,P1390,Wheel Speed Sensor 1 - G - Sensor Circuit
2677,pontiac,P1391,Wheel Speed Sensor 1 - G - Sensor Circuit Performance
2678,pontiac,P1392,Wheel Speed Sensor 1 - G - Sensor Circuit Low Voltage
2679,pontiac,P1393,Wheel Speed Sensor 1 - G - Sensor Circuit High Voltage
2680,pontiac,P1394,Wheel Speed Sensor 1 - G - Sensor Circuit Intermittent
2681,pontiac,P1395,Wheel Speed Sensor 2 - G - Sensor Circuit
2682,pontiac,P1396,Wheel Speed Sensor 2 - G - Sensor Circuit Performance
2683,pontiac,P1397,Wheel Speed Sensor 2 - G - Sensor Circuit Low Voltage
2684,pontiac,P1398,Wheel Speed Sensor 2 - G - Sensor Circuit High Voltage
2685,pontiac,P1399,Wheel Speed Sensor 2 - G - Sensor Circuit Intermittent
2686,pontiac,P1403,Exhaust Gas Recirculation System Valve 1
2687,pontiac,P1404,Exhaust Gas Recirculation (EGR) Closed PositionPerformance
2688,pontiac,P1405,Exhaust Gas Recirculation System Valve 3
2689,pontiac,P1406,EGR Valve Pintle Position Circuit
2690,pontiac,P1407,EGR Air Intrusion in Exhaust Supply to EGR Valve
2691,pontiac,P1408,Intake Manifold Pressure Sensor Circuit
2692,pontiac,P1409,EGR Vacuum System Leak
2693,pontiac,P1410,Fuel Tank Pressure System
2694,pontiac,P1415,Secondary Air Injection (AIR) System Bank 1
2695,pontiac,P1416,Secondary Air Injection (AIR) System Bank 2
2696,pontiac,P1418,Secondary Air Injection System Relay A Control CircuitHigh
2697,pontiac,P1420,Intake Air Low Pressure Switch Circuit Low Voltage
2698,pontiac,P1421,Intake Air Low Pressure Switch Circuit High Voltage
2699,pontiac,P1423,Intake Air High Pressure Switch Circuit High Voltage
2700,pontiac,P1431,Fuel Level Sensor 2 Circuit Performance
2701,pontiac,P1432,Fuel Level Sensor 2 Circuit Low Voltage
2702,pontiac,P1433,Fuel Level Sensor 2 Circuit High Voltage
2703,pontiac,P1441,Evaporative Emission (EVAP) System Flow During Non-Purge
2704,pontiac,P1442,EVAP Vacuum Sw. High Voltage During Ign. On
2705,pontiac,P1450,Barometric Pressure Sensor Circuit
2706,pontiac,P1451,Barometric Press. Sensor Performance
2707,pontiac,P1480,Cooling Fan 1 Control Circuit High
2708,pontiac,P1483,Engine Cooling System Performance
2709,pontiac,P1500,Starter Signal Circuit
2710,pontiac,P1502,Theft Deterrent Fuel Enable Signal Not Received
2711,pontiac,P1503,Theft Deterrent Fuel Enable Signal Not Correct
2712,pontiac,P1504,Vehicle Speed Output Circuit
2713,pontiac,P1508,Idle Speed Low - Idle Air Control (IAC) System NotResponding
2714,pontiac,P1509,Idle Speed High - Idle Air Control (IAC) System NotResponding
2715,pontiac,P1510,Throttle Control System Performance - Throttle LimitationActive
2716,pontiac,P1511,Throttle Control System - Backup System Performance
2717,pontiac,P1514,Airflow to TP Sensor Correlation High
2718,pontiac,P1515,Electronic Throttle System Throttle Position
2719,pontiac,P1516,Throttle Actuator Control (TAC) Module Throttle ActuatorPosition Performance
2720,pontiac,P1517,Electronic Throttle Module
2721,pontiac,P1518,Electronic Throttle Module to PCM Communication
2722,pontiac,P1519,Throttle Actuator Control (TAC) Module Internal Circuit
2723,pontiac,P1520,Transmission Range Switch Circuit
2724,pontiac,P1521,Transmission Engaged at High Throttle Angle
2725,pontiac,P1522,Park/Neutral to Drive/Reverse at High RPM
2726,pontiac,P1523,Throttle Closed Position Performance
2727,pontiac,P1524,Throttle Closed Position Performance
2728,pontiac,P1525,Throttle Body ServiceRequired
2729,pontiac,P1526,Minimum Throttle Position Not Learned
2730,pontiac,P1527,Transmission Range to Pressure Switch Correlation
2731,pontiac,P1528,Governor
2732,pontiac,P1529,Heated Windshield Request Problem
2733,pontiac,P1530,Throttle Actuator Control (TAC) Module Internal Circuit
2734,pontiac,P1531,A/C Low Side Temperature Sensor Fault
2735,pontiac,P1532,A/C Evaporator Temp. Sens. Ckt. Low Voltage
2736,pontiac,P1533,A/C Evaporator Temp. Sens. Ckt. High Voltage
2737,pontiac,P1534,A/C High Side Temp. Sensor Low Voltage
2738,pontiac,P1535,A/C High Side Temperature Sensor Circuit
2739,pontiac,P1536,Engine Coolant Overtemperature - Air Conditioning (A/C)Disabled
2740,pontiac,P1537,A/C Request Circuit Low Voltage
2741,pontiac,P1538,A/C Request Circuit High Voltage
2742,pontiac,P1539,A/C Clutch Status Circuit High Voltage
2743,pontiac,P1540,Air Conditioning (A/C) Refrigerant Overpressure - AirConditioning (A/C) Disabled
2744,pontiac,P1541,A/C High Side Over Temperature
2745,pontiac,P1542,A/C System High Pressure High Temperature
2746,pontiac,P1543,A/C System Performance
2747,pontiac,P1544,A/C Refrigerant Condition Very Low
2748,pontiac,P1545,Air Conditioning (A/C) Clutch Relay Control Circuit
2749,pontiac,P1546,A/C Clutch Status Circuit Low Voltage
2750,pontiac,P1547,A/C System Performance Degraded
2751,pontiac,P1548,A/C Recirculation Circuit
2752,pontiac,P1554,Cruise Control Feedback Circuit
2753,pontiac,P1555,Electronic Variable Orifice Output
2754,pontiac,P1558,Cruise Control Servo Indicates Low
2755,pontiac,P1559,Cruise Control Power Management Mode
2756,pontiac,P1560,Transaxle Not in Drive - Cruise Control Disabled
2757,pontiac,P1561,Cruise Vent Solenoid
2758,pontiac,P1562,Cruise Vacuum Solenoid
2759,pontiac,P1563,Cruise Vehicle Speed/Set Speed Difference Too High
2760,pontiac,P1564,Vehicle Acceleration Too High - Cruise Control Disabled
2761,pontiac,P1565,Cruise Servo Position Sensor
2762,pontiac,P1566,Engine RPM Too High - Cruise Control Disabled
2763,pontiac,P1567,Active Banking Control Active - Cruise Control Disabled
2764,pontiac,P1568,Cruise Servo Stroke Greater than Commanded in Cruise
2765,pontiac,P1569,Cruise Servo Stroke High While not in Cruise
2766,pontiac,P1570,Traction Control Active - Cruise Control Disabled
2767,pontiac,P1571,Traction Control Torque Request Circuit
2768,pontiac,P1572,ASR Active Circuit Low Too Long
2769,pontiac,P1573,PCM/EBTCM Serial Data Circuit
2770,pontiac,P1574,Stoplamp Switch Circuit
2771,pontiac,P1575,Extended Travel Brake Switch Circuit
2772,pontiac,P1576,BBV Sensor Ckt. High Voltage
2773,pontiac,P1577,BBV Sensor Ckt. Low Voltage
2774,pontiac,P1578,BBV Sensor Ckt. Low Vacuum
2775,pontiac,P1579,P/N to D/R at High Throttle Angle - Power Reduction ModeActive
2776,pontiac,P1580,Cruise Move Circuit Low Voltage
2777,pontiac,P1581,Cruise Move Circuit High Voltage
2778,pontiac,P1582,Cruise Direction Circuit Low Voltage
2779,pontiac,P1583,Cruise Direction CircuitHigh Voltage
2780,pontiac,P1584,Cruise Control Disabled
2781,pontiac,P1585,Cruise Control Inhibit Output Circuit
2782,pontiac,P1586,Cruise Control Brake Switch 2 Circuit
2783,pontiac,P1587,Cruise Control Clutch Control Circuit Low
2784,pontiac,P1588,Cruise Control Clutch Control Circuit High
2785,pontiac,P1599,Engine Stall or Near Stall Detected
2786,pontiac,P1600,TCM Internal Watchdog Operation
2787,pontiac,P1601,Serial Comm. Problem With Device 1
2788,pontiac,P1602,Knock Sensor (KS) Module Performance
2789,pontiac,P1603,Loss of SDM Serial Data
2790,pontiac,P1604,Loss of IPC Serial Data
2791,pontiac,P1605,Loss of HVAC Serial Data
2792,pontiac,P1606,Serial Communication Problem With Device 6
2793,pontiac,P1607,Serial Communication Problem With Device 7
2794,pontiac,P1608,Serial Communication Problem With Device 8
2795,pontiac,P1609,Loss Of TCS Serial Data
2796,pontiac,P1610,Loss of PZM Serial Data
2797,pontiac,P1611,Loss of CVRTD Serial Data
2798,pontiac,P1612,Loss of IPM Serial Data
2799,pontiac,P1613,Loss of DIM Serial Data
2800,pontiac,P1614,Loss of RIM Serial Data
2801,pontiac,P1615,Loss of VTD Serial Data
2802,pontiac,P1617,Engine Oil Level Switch Circuit
2803,pontiac,P1619,Engine Oil Life Monitor Reset Circuit
2804,pontiac,P1620,Low Coolant Circuit
2805,pontiac,P1621,Control Module Long Term Memory Performance
2806,pontiac,P1622,Cylinder Select
2807,pontiac,P1623,Transmission Temp Pull-Up Resistor
2808,pontiac,P1624,Customer Snapshot Requested - Data Available
2809,pontiac,P1625,TCM System Reset
2810,pontiac,P1626,Theft Deterrent Fuel Enable Signal Not Received
2811,pontiac,P1627,A/D Performance
2812,pontiac,P1628,ECT Pull-Up Resistor
2813,pontiac,P1629,Theft Deterrent System - Cranking Signal
2814,pontiac,P1630,Theft Deterrent Learn Mode Active
2815,pontiac,P1631,Theft Deterrent Start Enable Signal Not Correct
2816,pontiac,P1632,Theft Deterrent Fuel Disable Signal Received
2817,pontiac,P1633,Ignition 0 Switch Circuit
2818,pontiac,P1634,Ignition 1 Switch Circuit
2819,pontiac,P1635,5 Volt Reference Circuit
2820,pontiac,P1636,PCM Stack Overrun
2821,pontiac,P1637,Generator L-Terminal Circuit
2822,pontiac,P1638,Generator F-Terminal Circuit
2823,pontiac,P1639,5 Volt Reference 2 Circuit
2824,pontiac,P1640,Driver-1-Input High Voltage
2825,pontiac,P1641,Malfunction Indicator Lamp (MIL) Control Circuit
2826,pontiac,P1642,Vehicle Speed Output Circuit
2827,pontiac,P1643,Engine Speed Output Circuit
2828,pontiac,P1644,Traction Control Delivered Torque Output Circuit
2829,pontiac,P1645,Evaporative Emission (EVAP) Vent Solenoid Contorl Circuit
2830,pontiac,P1646,Evaporative Emission (EVAP) Vent Solenoid Control Circuit
2831,pontiac,P1647,Driver 1 Line 7
2832,pontiac,P1650,Control Module Output B Circuit
2833,pontiac,P1651,Fan 1 Relay Control Circuit
2834,pontiac,P1652,Powertrain Induced Chassis Pitch Output Circuit
2835,pontiac,P1653,Oil Level Lamp Control Circuit
2836,pontiac,P1654,Cruise Control Inhibit Output Circuit
2837,pontiac,P1655,EVAP Purge Solenoid Control Circuit
2838,pontiac,P1656,Driver 2 Line 6
2839,pontiac,P1657,1-4 Upshift Solenoid Control Circuit
2840,pontiac,P1658,Starter Enable Relay Control Circuit
2841,pontiac,P1660,Cooling Fan Control Circuits
2842,pontiac,P1661,MIL Control Circuit
2843,pontiac,P1662,Cruise Lamp Control Circuit
2844,pontiac,P1663,Oil Life Lamp Control Circuit
2845,pontiac,P1664,1-4 Upshift Lamp Control Circuit
2846,pontiac,P1665,Driver 3 Line 5
2847,pontiac,P1666,Driver 3 Line 6
2848,pontiac,P1667,Reverse Inhibit Solenoid Control Circuit
2849,pontiac,P1669,ABS Unit Expected
2850,pontiac,P1670,Driver 4
2851,pontiac,P1671,Driver 4 Line 1
2852,pontiac,P1672,Low Engine Oil Level Lamp Control Circuit
2853,pontiac,P1673,Engine Hot Lamp Control Circuit
2854,pontiac,P1674,Tachometer Control Circuit
2855,pontiac,P1675,EVAP Vent Solenoid Control Circuit
2856,pontiac,P1676,Driver 4 Line 6
2857,pontiac,P1677,Driver 4 Line 7
2858,pontiac,P1680,Driver 5
2859,pontiac,P1681,Driver 5 Line 1
2860,pontiac,P1682,Driver 5 Line 2
2861,pontiac,P1683,Driver 5 Line 3
2862,pontiac,P1684,Driver 5 Line 4
2863,pontiac,P1685,Driver 5 Line 5
2864,pontiac,P1686,Driver 5 Line 6
2865,pontiac,P1687,Driver 5 Line 7
2866,pontiac,P1689,Delivered Torque Circuit Fault
2867,pontiac,P1690,ECM Loop Overrun
2868,pontiac,P1691,Coolant Gage Circuit Low Voltage
2869,pontiac,P1692,Coolant Gage Circuit High Voltage
2870,pontiac,P1693,Tachometer Circuit Low Voltage
2871,pontiac,P1694,Tachometer Circuit High Voltage
2872,pontiac,P1695,Remote Keyless Entry Circuit Low
2873,pontiac,P1696,Remote Keyless Entry Voltage High
2874,pontiac,P1700,Transmission Control Module (TCM) Requested MILIllumination
2875,pontiac,P1701,Trans. MIL Request Circuit
2876,pontiac,P1705,P/N Signal Output Circuit
2877,pontiac,P1740,Torque Reduction Signal Circuit
2878,pontiac,P1743,TP Signal from ECM
2879,pontiac,P1760,TCM Supply Voltage Interrupted
2880,pontiac,P1779,Engine Torque Delivered to TCM Signal
2881,pontiac,P1780,Park/Neutral Position [PNP] Switch Circuit
2882,pontiac,P1781,Engine Torque Signal Circuit
2883,pontiac,P1790,Transmission Control Module Checksum
2884,pontiac,P1791,Transmission Control Module Loop
2885,pontiac,P1793,Transmission Control Module Stack Overrun
2886,pontiac,P1795,CAN Bus - Throttle Body Position
2887,pontiac,P1800,TCM Power Relay Control Circuit
2888,pontiac,P1801,Performance Selector Switch Failure
2889,pontiac,P1804,Ground Control Relay
2890,pontiac,P1810,TFP Valve Position Switch Circuit
2891,pontiac,P1811,Maximum Adapt and Long Shift
2892,pontiac,P1812,Transmission Over Temperature Condition
2893,pontiac,P1813,Torque Control
2894,pontiac,P1814,Torque Converter Overstressed
2895,pontiac,P1815,Transmission Range Switch - Start In Wrong Range
2896,pontiac,P1816,TFP Valve Position Sw. - Park/Neu. With Drive Ratio
2897,pontiac,P1817,TFP Valve Position Sw. - Reverse With Drive Ratio
2898,pontiac,P1818,TFP Valve Position Sw. - Drive Without Drive Ratio
2899,pontiac,P1819,Internal Mode Switch - No Start/Wrong Range
2900,pontiac,P1820,Internal Mode Switch Circuit A Low
2901,pontiac,P1822,Internal Mode Switch Circuit B High
2902,pontiac,P1823,Internal Mode Switch Circuit P Low
2903,pontiac,P1825,Internal Mode Switch - Invalid Range
2904,pontiac,P1826,Internal Mode Switch Circuit C - High
2905,pontiac,P1831,PC Solenoid Power Circuit - Low Voltage
2906,pontiac,P1833,A/T Solenoids Power Circuit - Low Voltage
2907,pontiac,P1835,Kick-Down Switch Circuit
2908,pontiac,P1836,Kick-Down Switch Failed Open
2909,pontiac,P1837,Kick-Down Switch Failed Short
2910,pontiac,P1842,1-2 Shift Solenoid Circuit Low Voltage
2911,pontiac,P1843,1-2 Shift Solenoid Circuit High Voltage
2912,pontiac,P1844,Torque Reduction Signal Circuit Desired By TCM
2913,pontiac,P1845,2-3 Shift Solenoid Circuit Low Voltage
2914,pontiac,P1847,2-3 Shift Solenoid Circuit High Voltage
2915,pontiac,P1850,Brake Band Apply Solenoid Circuit
2916,pontiac,P1851,Brake Band Apply Solenoid Performance
2917,pontiac,P1852,Brake Band Apply SolenoidLow Voltage
2918,pontiac,P1853,Brake Band Apply Solenoid High Voltage
2919,pontiac,P1860,TCC PWM Solenoid Circuit Electrical
2920,pontiac,P1864,Torque Converter Clutch Circuit
2921,pontiac,P1868,Transmission Fluid Life
2922,pontiac,P1870,Transmission Component Slipping
2923,pontiac,P1871,Undefined Gear Ratio
2924,pontiac,P1873,TCC Stator Temp. Switch Circuit Low
2925,pontiac,P1874,TCC Stator Temp. Switch Circuit High
2926,pontiac,P1875,4WD Low Switch Circuit Electrical
2927,pontiac,P1884,TCC Enable/Shift Light Circuit
2928,pontiac,P1886,Shift Timing Solenoid
2929,pontiac,P1887,TCC Release Switch Circuit
2930,pontiac,P1891,Throttle Position Sensor PWM Signal Low
2931,pontiac,P1892,Throttle Position Sensor PWM Signal High
2932,pontiac,P1893,Engine Torque Signal Low Voltage
2933,pontiac,P1894,Engine Torque Signal High Voltage
2934,pontiac,P1895,TCM to ECM Torque Reduction Circuit
2935,saturn,P1031,HO2S Heater Current Monitor Control Circuit Banks 1 and 2 Sensor 1
2936,saturn,P1032,HO2S Heater Warm Up Control Circuit Banks 1 and 2 Sensor 1
2937,saturn,P1105,Secondary Vacuum Sensor Circuit
2938,saturn,P1106,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent High Voltage
2939,saturn,P1107,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent Low Voltage
2940,saturn,P1108,BARO to MAP Sensor Comparison Too High
2941,saturn,P1109,Secondary Port Throttle System
2942,saturn,P1111,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage
2943,saturn,P1112,Intake Air Temperature (IAT) Sensor Circuit IntermittentLow Voltage
2944,saturn,P1113,Intake Resonance Switchover Solenoid Control Circuit
2945,saturn,P1114,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent Low Voltage
2946,saturn,P1115,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent High Voltage
2947,saturn,P1116,ECT Signal Unstable or Intermittent
2948,saturn,P1117,Engine Coolant Temp. Signal Out-Of-Range Low
2949,saturn,P1118,Engine Coolant Temp. Signal Out-Of-Range High
2950,saturn,P1119,ECT Signal Out-Of-Range With TFT Sensor
2951,saturn,P1120,Throttle Position (TP) Sensor 1 Circuit
2952,saturn,P1121,Throttle Position (TP) Sensor Circuit Intermittent HighVoltage
2953,saturn,P1122,Throttle Position (TP) Sensor Circuit Intermittent LowVoltage
2954,saturn,P1125,APP System
2955,saturn,P1130,HO2S Circuit Low Variance Bank 1 Sensor 1
2956,saturn,P1131,HO2S Circuit Low Variance Bank 1 Sensor 2
2957,saturn,P1132,HO2S Circuit Low Variance Bank 2 Sensor 1
2958,saturn,P1133,HO2S Insufficient Switching Bank 1 Sensor 1
2959,saturn,P1134,HO2S Transition Time Ratio Bank 1 Sensor 1
2960,saturn,P1135,HO2S Lean Mean Bank 1 Sensor 1
2961,saturn,P1136,HO2S Rich Mean Bank 1 Sensor 1
2962,saturn,P1137,HO2S Bank 1 Sensor 2 Lean System or Low Voltage
2963,saturn,P1138,HO2S Bank 1 Sensor 2 Rich or High Voltage
2964,saturn,P1139,HO2S Insuff. Switching Bank 1 Sensor 2
2965,saturn,P1140,HO2S Transition Time Ratio Bank 1 Sensor 2
2966,saturn,P1141,HO2S Heater Control Circuit Bank 1 Sensor 2
2967,saturn,P1143,HO2S Bank 1 Sensor 3 Lean System or Low Voltage
2968,saturn,P1144,HO2S Bank 1 Sensor 3 Rich or High Voltage
2969,saturn,P1145,HO2S Cross Counts Bank 1 Sensor 3
2970,saturn,P1153,HO2S Insufficient Switching Bank 2 Sensor 1
2971,saturn,P1154,HO2S Transition Time Ratio Bank 2 Sensor 1
2972,saturn,P1155,HO2S Lean Mean Bank 2 Sensor 1
2973,saturn,P1156,HO2S Rich Mean Bank 2 Sensor 1
2974,saturn,P1157,HO2S Bank 2 Sensor 2 Lean System or Low Voltage
2975,saturn,P1158,HO2S Bank 2 Sensor 2 Rich or High Voltage
2976,saturn,P1159,HO2S Cross Counts Bank 2 Sensor 2
2977,saturn,P1161,HO2S Heater Control Circuit Bank 2 Sensor 2
2978,saturn,P1163,HO2S Bank 2 Sensor 3 Lean System or Low Voltage
2979,saturn,P1164,HO2S Bank 2 Sensor 3 Rich or High Voltage
2980,saturn,P1165,HO2S Cross Counts Bank 2 Sensor 3
2981,saturn,P1170,Bank to Bank Fuel TrimOffset
2982,saturn,P1171,Fuel System Lean During Acceleration
2983,saturn,P1185,Engine Oil Temperature Circuit
2984,saturn,P1186,EOT Circuit Performance
2985,saturn,P1187,EOT Sensor Ckt. Low Voltage
2986,saturn,P1188,EOT Sensor Ckt. High Voltage
2987,saturn,P1189,Engine Oil Pressure (EOP) Switch Circuit
2988,saturn,P1190,Engine Vacuum Leak
2989,saturn,P1191,Intake Air Duct Air Leak
2990,saturn,P1200,Injector Control Circuit
2991,saturn,P1201,(Alt. Fuel) Gas Mass Sensor Circuit Range/Performance
2992,saturn,P1202,(Alt. Fuel) Gas Mass Sensor Circuit Low Frequency
2993,saturn,P1203,(Alt. Fuel) Gas Mass Sensor Circuit High Frequency
2994,saturn,P1211,Mass Air Flow Circuit Intermittent High
2995,saturn,P1212,Mass Air Flow Circuit Intermittent Low
2996,saturn,P1214,Injection Pump Timing Offset
2997,saturn,P1215,Ground Fault Detection Indicated
2998,saturn,P1216,Fuel Solenoid Response Time Too Short
2999,saturn,P1217,Fuel Solenoid Response Time Too Long
3000,saturn,P1218,Injection Pump Calibration Circuit
3001,saturn,P1219,Throttle Position Sensor Reference Voltage
3002,saturn,P1220,Throttle Position (TP) Sensor 2 Circuit
3003,saturn,P1221,Fuel Pump Secondary Circuit Low
3004,saturn,P1222,Injector Control Circuit Intermittent
3005,saturn,P1225,Injector Circuit Cylinder 2 Intermittent
3006,saturn,P1228,Injector Circuit Cylinder 3 Intermittent
3007,saturn,P1231,Injector Circuit Cylinder 4 Intermittent
